edad	is_condicion_fisica	detalle_condicion	epoca	is_camino_realizado_prev	ruta	dias	distancia	is_calzado_adecuado	is_tr_mochila	is_reserva_aloj	etapa_ideal	nota	consejos	intensidad_km_dia	is_experto_senderismo	genero_Mujer	pais_Argentina	pais_Colombia	pais_EEUU	pais_Espana	pais_Francia	pais_Italia	pais_Mexico	pais_Peru	pais_Portugal	pais_Reino_Unido	calzado_Playeros	calzado_Sandalias_de_trekking	calzado_Zapatillas_de_trail_running	calzado_Zapatillas_deportivas_normales	modo_realizacion_A_pie	modo_realizacion_En_bici	alojamiento_Albergues_privados_Hostales__Hoteles	alojamiento_Albergues_publicos	alojamiento_Albergues_publicos_Albergues_privados	alojamiento_Albergues_publicos_Albergues_privados_Airbnb	alojamiento_Albergues_publicos_Albergues_privados_Hostales__Hoteles	alojamiento_Hostales__Hoteles	alojamiento_Hostales__Hoteles_Airbnb	alojamiento_Hostales__Hoteles_Pensiones	alojamiento_No_aplica	is_volver_a_hacer_Tal_vez	is_lesion_Si_importante_me_hizo_abandonar	is_lesion_Si_leve	is_lesion_Si_moderado	alojamiento_Albergues_privados_Hostales__Hoteles.1	alojamiento_Albergues_publicos.1	alojamiento_Albergues_publicos_Albergues_privados.1	alojamiento_Albergues_publicos_Albergues_privados_Airbnb.1	alojamiento_Albergues_publicos_Albergues_privados_Hostales__Hoteles.1	alojamiento_Hostales__Hoteles.1	alojamiento_Hostales__Hoteles_Airbnb.1	alojamiento_Hostales__Hoteles_Pensiones.1	alojamiento_No_aplica.1	motivo_Cultural_turistico_Deportivo	motivo_Cultural_turistico_Deportivo_Personal_reflexivo	motivo_Cultural_turistico_Deportivo_Religioso	motivo_Cultural_turistico_Personal_reflexivo	motivo_Cultural_turistico_Personal_reflexivo_Religioso	motivo_Cultural_turistico_Religioso	motivo_Deportivo	motivo_Deportivo_Cultural_turistico	motivo_Deportivo_Cultural_turistico_Personal_reflexivo	motivo_Deportivo_Personal_reflexivo	motivo_Deportivo_Personal_reflexivo_Religioso	motivo_Deportivo_Religioso	motivo_Disfrutar_de_mis_amigos	motivo_Personal_reflexivo	motivo_Personal_reflexivo_Religioso	motivo_Religioso	motivo_Religioso_Cultural_turistico	motivo_Religioso_Cultural_turistico_Personal_reflexivo	motivo_Religioso_Deportivo	motivo_Religioso_Deportivo_Cultural_turistico_Personal_reflexivo	motivo_Religioso_Deportivo_Personal_reflexivo	motivo_Religioso_Personal_reflexivo	motivo_Religioso_Personal_reflexivo_Una_cosa_te_lleva_a_la_otra_si_darte_cuenta.	motivo_Turismo	nivel_expereincia_previo_Basica__10_km_ocasionalmente	nivel_expereincia_previo_Moderada_1020_km_regularmente	nivel_expereincia_previo_Ninguna	condicion_previa_Baja	condicion_previa_Media	dureza_Moderadas	dureza_Muy_variables	dureza_Suaves	hace_cuanto_Este_ano	hace_cuanto_Mas_de_2_anos	temporada_Otono	temporada_Primavera	temporada_Verano	grupo_edad_30-39	grupo_edad_40-49	grupo_edad_50-59	grupo_edad_60-70	is_volver_binaria	is_volver_talvez	is_lesion	prob_lesion_pred_rf	prob_lesion_pred_lr	prob_lesion_pred_nb	prob_lesion_pred	prob_transporte_mochila_pred_rf	prob_transporte_mochila_pred_lr	prob_transporte_mochila_pred_nb	prob_transporte_mochila_pred	prob_reserva_aloj_pred_rf	prob_reserva_aloj_pred_lr	prob_reserva_aloj_pred_nb	prob_reserva_aloj_pred	nota_pred_rf	nota_pred_linreg	nota_pred	intensidad_km_dia_pred_rf	intensidad_km_dia_pred_linreg	intensidad_km_dia_pred	ruta_recom_vecinos	epoca_recom_vecinos
23.0	0	No	Verano	1	Francés	10.0	100	1	0	1	Cortas y fáciles (≤ 15 km)	8.0	Sin respuesta	10.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0.01	0.0006417294564704936	6.877186690429022e-05	0.0006417294564704936	0.1675	0.382288835247579	0.27823051960966744	0.27823051960966744	0.2775	0.14003463924793533	3.917209375935557e-23	0.14003463924793533	8.695	8.721382345496208	8.721382345496208	9.898502886002886	14.970382720409063	9.898502886002886	Portugués	Verano
32.0	0	No	Otoño	0	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10.0	Sin respuesta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0.525	0.9972824045206794	1.0	0.9972824045206794	0.1275	0.549626996600742	0.8279009113490572	0.8279009113490572	0.045	0.038756347873096224	0.0	0.038756347873096224	8.76	8.171308200709907	8.171308200709907	16.666666666666732	19.253351450469964	16.666666666666732	Primitivo	Invierno
32.0	0	No	Primavera	1	Portugués	6.0	100	1	0	1	Medias (~20 km con algo de desnivel)	9.0	Que se prepare un mínimo físicamente, que lleve en la mochila lo imprescindible y que le ponga muy buena actitud porque habrá momentos duros pero con alegría todo se lleva mejor!! 	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0.695	0.9986530951372187	1.0	0.9986530951372187	0.2425	0.5749165022304955	0.999997326758538	0.999997326758538	0.1575	0.032292095658701885	1.18723848981105e-28	0.032292095658701885	8.705	8.694860225789665	8.694860225789665	16.66666666666673	18.100513347417138	16.66666666666673	Portugués	Primavera
32.0	0	No	Primavera	0	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10.0	Yo lo hice corriendo 	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0.0275	0.0014614055666209442	0.8667500274073806	0.0014614055666209442	0.22	0.5162858007658	0.46831653179121147	0.46831653179121147	0.985	0.9940431049230206	1.0	0.9940431049230206	9.3825	8.707496980538293	8.707496980538293	16.666666666666732	17.996845006967376	16.666666666666732	Francés	Primavera
31.0	0	No	Primavera	0	Francés	5.0	100	1	1	1	Largas y exigentes (≥ 25 km)	10.0	Sin respuesta	20.0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0.69	0.997875508188445	1.0	0.997875508188445	0.2625	0.7467544320826722	0.9999988866988987	0.9999988866988987	0.9775	0.9974545195901546	1.0	0.9974545195901546	8.5775	8.521121324445945	8.521121324445945	20.0	17.045968497978844	20.0	Francés	Verano
32.0	0	No	Primavera	0	Desconocido	5.0	200	1	0	1	Largas y exigentes (≥ 25 km)	10.0	Que disfrute	40.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0.065	0.0025038115988573646	1.0	0.0025038115988573646	0.215	0.9215502298847358	1.0	1.0	0.1875	0.3330053345882599	1.0	0.3330053345882599	8.865	9.856292264364647	9.856292264364647	33.33333333333349	28.990677029705356	33.33333333333349	Francés	Verano
24.0	0	No	Verano	1	Portugués	6.0	100	1	1	1	Largas y exigentes (≥ 25 km)	9.0	respira, disfruta del paisaje y reflexiona todo eso que llevas en la cabeza durante la travesía; el sentimiento de paz al durante y al acabar es indescriptible 	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0.075	0.0019015987472207692	1.0	0.0019015987472207692	0.22	0.7449842837840422	1.0	1.0	0.3325	0.7003677381412625	1.0	0.7003677381412625	8.9775	9.00814517884919	9.00814517884919	16.666666666666732	17.45971307938525	16.666666666666732	Francés	Verano
32.0	0	No	Primavera	0	Portugués	4.0	100	1	0	1	Medias (~20 km con algo de desnivel)	7.0	Que evite los fines de semana y la temporada alta de verano.	25.0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0.0925	0.004639595745000227	0.9759390774760129	0.004639595745000227	0.125	0.41630119203721727	0.46842183953306793	0.46842183953306793	0.985	0.9948571699249068	1.0	0.9948571699249068	7.005	7.160137801384516	7.160137801384516	25.0	19.05080284303584	25.0	Francés	Invierno
32.0	0	No	Verano	1	Portugués	6.0	100	1	0	1	Largas y exigentes (≥ 25 km)	9.0	Sin respuesta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0.0025	0.0005579456135029443	5.642347151137768e-05	0.0005579456135029443	0.08	0.26377930712374037	0.03562981892987391	0.03562981892987391	0.23	0.0394153967602657	5.861465649754631e-27	0.0394153967602657	8.8875	8.88546959854908	8.88546959854908	16.66666666666673	17.930477123129933	16.66666666666673	Francés	Verano
29.0	0	No	Otoño	0	Portugués	6.0	100	1	0	0	Medias (~20 km con algo de desnivel)	10.0	Sin respuesta	16.666666666666668	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0075	0.0010059197650624655	0.0017403717367680158	0.0010059197650624655	0.1375	0.2601934557940487	0.03927855068371249	0.03927855068371249	0.3025	0.13936685160233428	1.6871400390761188e-30	0.13936685160233428	8.7	8.631764329782994	8.631764329782994	16.666666666666732	17.576915570264973	16.666666666666732	Francés	Otoño
